"MAPPING — MASTER DATA (Model, Brand, Size, HS Code da co san)",,,,,,,,,
"  Day la MASTER DATA chinh: VBA doc Size/HS Code/Ma noi bo TRUC TIEP tu day theo key MODEL+BRAND.
  Neu mot Model+Brand MOI chua co trong danh sach, VBA se TU TINH du phong va canh bao ban bo sung.
  CHI THEM DONG MOI khi co Model+Brand thuc su chua ton tai (khong sua Size/HS Code cua dong co san tru khi chac chan).",,,,,,,,,
#,MODEL,BRAND,DESCRIPTION (English),INTERNAL CODE,SIZE (CM),HS CODE,TEN HANG (VN),SO LO,PCS/CTN
93,RECMF-6400,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6400,CR.AR.040.TA,101.6,401032,TAKA r?ng A40,,150
94,RECMF-6410,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6410,CR.AR.041.TA,104.1,401032,TAKA r?ng A41,,150
95,RECMF-6420,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6420,CR.AR.042.TA,106.7,401032,TAKA r?ng A42,,150
96,RECMF-6430,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6430,CR.AR.043.TA,109.2,401032,TAKA r?ng A43,,150
97,RECMF-6440,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6440,CR.AR.044.TA,111.8,401032,TAKA r?ng A44,,130
98,RECMF-6450,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6450,CR.AR.045.TA,114.3,401032,TAKA r?ng A45,,130
99,RECMF-6460,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6460,CR.AR.046.TA,116.8,401032,TAKA r?ng A46,,130
100,RECMF-6470,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6470,CR.AR.047.TA,119.4,401032,TAKA r?ng A47,,100
101,RECMF-6480,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6480,CR.AR.048.TA,121.9,401032,TAKA r?ng A48,,100
102,RECMF-6490,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6490,CR.AR.049.TA,124.5,401032,TAKA r?ng A49,,100
103,RECMF-6500,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6500,CR.AR.050.TA,127,401032,TAKA r?ng A50,,100
104,RECMF-6510,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6510,CR.AR.051.TA,129.5,401032,TAKA r?ng A51,,100
105,RECMF-6520,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6520,CR.AR.052.TA,132.1,401032,TAKA r?ng A52,,100
106,RECMF-6530,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6530,CR.AR.053.TA,134.6,401032,TAKA r?ng A53,,100
107,RECMF-6540,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6540,CR.AR.054.TA,137.2,401032,TAKA r?ng A54,,100
108,RECMF-6550,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6550,CR.AR.055.TA,139.7,401032,TAKA r?ng A55,,100
109,RECMF-6560,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6560,CR.AR.056.TA,142.2,401032,TAKA r?ng A56,,100
110,RECMF-6570,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6570,CR.AR.057.TA,144.8,401032,TAKA r?ng A57,,100
111,RECMF-6580,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6580,CR.AR.058.TA,147.3,401032,TAKA r?ng A58,,100
112,RECMF-6590,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6590,CR.AR.059.TA,149.9,401032,TAKA r?ng A59,,100
113,RECMF-6600,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6600,CR.AR.060.TA,152.4,401032,TAKA r?ng A60,,100
114,RECMF-6610,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6610,CR.AR.061.TA,154.9,401032,TAKA r?ng A61,,100
115,RECMF-6620,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6620,CR.AR.062.TA,157.5,401032,TAKA r?ng A62,,100
116,RECMF-6630,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6630,CR.AR.063.TA,160,401032,TAKA r?ng A63,,100
117,RECMF-6640,TAKA,Rubber Belt (V-Ribbed) TAKA RECMF-6640,CR.AR.064.TA,162.6,401032,TAKA r?ng A64,,100
