"MAPPING — MASTER DATA (Model, Brand, Size, HS Code da co san)",,,,,,,,,
"  Day la MASTER DATA chinh: VBA doc Size/HS Code/Ma noi bo TRUC TIEP tu day theo key MODEL+BRAND.
  Neu mot Model+Brand MOI chua co trong danh sach, VBA se TU TINH du phong va canh bao ban bo sung.
  CHI THEM DONG MOI khi co Model+Brand thuc su chua ton tai (khong sua Size/HS Code cua dong co san tru khi chac chan).",,,,,,,,,
#,MODEL,BRAND,DESCRIPTION (English),INTERNAL CODE,SIZE (CM),HS CODE,TEN HANG (VN),SO LO,PCS/CTN
1851,RECMF-6590,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-6590,CR.AR.059.BT-MITSU,149.9,401032,BT-MITSU r?ng A59,,100
1852,RECMF-6600,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-6600,CR.AR.060.BT-MITSU,152.4,401032,BT-MITSU r?ng A60,,100
1853,RECMF-6610,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-6610,CR.AR.061.BT-MITSU,154.9,401032,BT-MITSU r?ng A61,,100
1854,RECMF-6620,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-6620,CR.AR.062.BT-MITSU,157.5,401032,BT-MITSU r?ng A62,,100
1855,RECMF-6630,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-6630,CR.AR.063.BT-MITSU,160,401032,BT-MITSU r?ng A63,,100
1856,RECMF-6640,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-6640,CR.AR.064.BT-MITSU,162.6,401032,BT-MITSU r?ng A64,,100
1857,RECMF-6650,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-6650,CR.AR.065.BT-MITSU,165.1,401032,BT-MITSU r?ng A65,,100
1858,RECMF-6660,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-6660,CR.AR.066.BT-MITSU,167.6,401032,BT-MITSU r?ng A66,,100
1859,RECMF-6670,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-6670,CR.AR.067.BT-MITSU,170.2,401032,BT-MITSU r?ng A67,,100
1860,RECMF-6680,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-6680,CR.AR.068.BT-MITSU,172.7,401032,BT-MITSU r?ng A68,,100
1861,RECMF-6690,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-6690,CR.AR.069.BT-MITSU,175.3,401032,BT-MITSU r?ng A69,,100
1862,RECMF-6710,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-6710,CR.AR.071.BT-MITSU,180.3,401034,BT-MITSU r?ng A71,,0
1863,RECMF-6720,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-6720,CR.AR.072.BT-MITSU,182.9,401034,BT-MITSU r?ng A72,,61
1864,RECMF-6730,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-6730,CR.AR.073.BT-MITSU,185.4,401034,BT-MITSU r?ng A73,,70
1865,RECMF-6740,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-6740,CR.AR.074.BT-MITSU,188,401034,BT-MITSU r?ng A74,,80
1866,RECMF-6750,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-6750,CR.AR.075.BT-MITSU,190.5,401034,BT-MITSU r?ng A75,,80
1867,RECMF-6760,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-6760,CR.AR.076.BT-MITSU,193,401034,BT-MITSU r?ng A76,,0
1868,RECMF-6800,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-6800,CR.AR.080.BT-MITSU,203.2,401034,BT-MITSU r?ng A80,,0
1869,RECMF-8260,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8260,CR.BR.026.BT-MITSU,66,401032,BT-MITSU r?ng B26,,0
1870,RECMF-8270,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8270,CR.BR.027.BT-MITSU,68.6,401032,BT-MITSU r?ng B27,,0
1871,RECMF-8280,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8280,CR.BR.028.BT-MITSU,71.1,401032,BT-MITSU r?ng B28,,0
1872,RECMF-8290,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8290,CR.BR.029.BT-MITSU,73.7,401032,BT-MITSU r?ng B29,,120
1873,RECMF-8300,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8300,CR.BR.030.BT-MITSU,76.2,401032,BT-MITSU r?ng B30,,0
1874,RECMF-8310,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8310,CR.BR.031.BT-MITSU,78.7,401032,BT-MITSU r?ng B31,,0
1875,RECMF-8320,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8320,CR.BR.032.BT-MITSU,81.3,401032,BT-MITSU r?ng B32,,0
1876,RECMF-8330,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8330,CR.BR.033.BT-MITSU,83.8,401032,BT-MITSU r?ng B33,,80
1877,RECMF-8340,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8340,CR.BR.034.BT-MITSU,86.4,401032,BT-MITSU r?ng B34,,80
1878,RECMF-8350,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8350,CR.BR.035.BT-MITSU,88.9,401032,BT-MITSU r?ng B35,,75
1879,RECMF-8360,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8360,CR.BR.036.BT-MITSU,91.4,401032,BT-MITSU r?ng B36,,0
1880,RECMF-8370,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8370,CR.BR.037.BT-MITSU,94,401032,BT-MITSU r?ng B37,,0
1881,RECMF-8380,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8380,CR.BR.038.BT-MITSU,96.5,401032,BT-MITSU r?ng B38,,75
1882,RECMF-8400,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8400,CR.BR.040.BT-MITSU,101.6,401032,BT-MITSU r?ng B40,,0
1883,RECMF-8410,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8410,CR.BR.041.BT-MITSU,104.1,401032,BT-MITSU r?ng B41,,75
1884,RECMF-8420,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8420,CR.BR.042.BT-MITSU,106.7,401032,BT-MITSU r?ng B42,,75
1885,RECMF-8430,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8430,CR.BR.043.BT-MITSU,109.2,401032,BT-MITSU r?ng B43,,0
1886,RECMF-8440,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8440,CR.BR.044.BT-MITSU,111.8,401032,BT-MITSU r?ng B44,,0
1887,RECMF-8450,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8450,CR.BR.045.BT-MITSU,114.3,401032,BT-MITSU r?ng B45,,75
1888,RECMF-8460,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8460,CR.BR.046.BT-MITSU,116.8,401032,BT-MITSU r?ng B46,,0
1889,RECMF-8470,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8470,CR.BR.047.BT-MITSU,119.4,401032,BT-MITSU r?ng B47,,0
1890,RECMF-8480,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8480,CR.BR.048.BT-MITSU,121.9,401032,BT-MITSU r?ng B48,,73
1891,RECMF-8490,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8490,CR.BR.049.BT-MITSU,124.5,401032,BT-MITSU r?ng B49,,0
1892,RECMF-8500,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8500,CR.BR.050.BT-MITSU,127,401032,BT-MITSU r?ng B50,,0
1893,RECMF-8510,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8510,CR.BR.051.BT-MITSU,129.5,401032,BT-MITSU r?ng B51,,0
1894,RECMF-8520,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8520,CR.BR.052.BT-MITSU,132.1,401032,BT-MITSU r?ng B52,,65
1895,RECMF-8530,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8530,CR.BR.053.BT-MITSU,134.6,401032,BT-MITSU r?ng B53,,65
1896,RECMF-8540,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8540,CR.BR.054.BT-MITSU,137.2,401032,BT-MITSU r?ng B54,,65
1897,RECMF-8550,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8550,CR.BR.055.BT-MITSU,139.7,401032,BT-MITSU r?ng B55,,0
1898,RECMF-8560,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8560,CR.BR.056.BT-MITSU,142.2,401032,BT-MITSU r?ng B56,,0
1899,RECMF-8570,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8570,CR.BR.057.BT-MITSU,144.8,401032,BT-MITSU r?ng B57,,68
1900,RECMF-8580,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8580,CR.BR.058.BT-MITSU,147.3,401032,BT-MITSU r?ng B58,,60
1901,RECMF-8590,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8590,CR.BR.059.BT-MITSU,149.9,401032,BT-MITSU r?ng B59,,60
1902,RECMF-8600,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8600,CR.BR.060.BT-MITSU,152.4,401032,BT-MITSU r?ng B60,,0
1903,RECMF-8610,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8610,CR.BR.061.BT-MITSU,154.9,401032,BT-MITSU r?ng B61,,55
1904,RECMF-8620,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8620,CR.BR.062.BT-MITSU,157.5,401032,BT-MITSU r?ng B62,,55
1905,RECMF-8630,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8630,CR.BR.063.BT-MITSU,160,401032,BT-MITSU r?ng B63,,55
1906,RECMF-8640,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8640,CR.BR.064.BT-MITSU,162.6,401032,BT-MITSU r?ng B64,,0
1907,RECMF-8650,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8650,CR.BR.065.BT-MITSU,165.1,401032,BT-MITSU r?ng B65,,0
1908,RECMF-8660,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8660,CR.BR.066.BT-MITSU,167.6,401032,BT-MITSU r?ng B66,,55
1909,RECMF-8670,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8670,CR.BR.067.BT-MITSU,170.2,401032,BT-MITSU r?ng B67,,0
1910,RECMF-8680,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8680,CR.BR.068.BT-MITSU,172.7,401032,BT-MITSU r?ng B68,,55
1911,RECMF-8690,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8690,CR.BR.069.BT-MITSU,175.3,401032,BT-MITSU r?ng B69,,0
1912,RECMF-8700,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8700,CR.BR.070.BT-MITSU,177.8,401032,BT-MITSU r?ng B70,,50
1913,RECMF-8710,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8710,CR.BR.071.BT-MITSU,180.3,401034,BT-MITSU r?ng B71,,50
1914,RECMF-8720,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8720,CR.BR.072.BT-MITSU,182.9,401034,BT-MITSU r?ng B72,,50
1915,RECMF-8730,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8730,CR.BR.073.BT-MITSU,185.4,401034,BT-MITSU r?ng B73,,50
1916,RECMF-8740,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8740,CR.BR.074.BT-MITSU,188,401034,BT-MITSU r?ng B74,,50
1917,RECMF-8750,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8750,CR.BR.075.BT-MITSU,190.5,401034,BT-MITSU r?ng B75,,0
1918,RECMF-8760,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8760,CR.BR.076.BT-MITSU,193,401034,BT-MITSU r?ng B76,,50
1919,RECMF-8770,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8770,CR.BR.077.BT-MITSU,195.6,401034,BT-MITSU r?ng B77,,50
1920,RECMF-8780,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8780,CR.BR.078.BT-MITSU,198.1,401034,BT-MITSU r?ng B78,,50
1921,RECMF-8790,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8790,CR.BR.079.BT-MITSU,200.7,401034,BT-MITSU r?ng B79,,50
1922,RECMF-8800,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8800,CR.BR.080.BT-MITSU,203.2,401034,BT-MITSU r?ng B80,,0
1923,RECMF-8810,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8810,CR.BR.081.BT-MITSU,205.7,401034,BT-MITSU r?ng B81,,0
1924,RECMF-8820,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8820,CR.BR.082.BT-MITSU,208.3,401034,BT-MITSU r?ng B82,,45
1925,RECMF-8830,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8830,CR.BR.083.BT-MITSU,210.8,401034,BT-MITSU r?ng B83,,0
1926,RECMF-8840,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8840,CR.BR.084.BT-MITSU,213.4,401034,BT-MITSU r?ng B84,,0
1927,RECMF-8850,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8850,CR.BR.085.BT-MITSU,215.9,401034,BT-MITSU r?ng B85,,0
1928,RECMF-8860,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8860,CR.BR.086.BT-MITSU,218.4,401034,BT-MITSU r?ng B86,,0
1929,RECMF-8870,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8870,CR.BR.087.BT-MITSU,221,401034,BT-MITSU r?ng B87,,0
1930,RECMF-8880,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8880,CR.BR.088.BT-MITSU,223.5,401034,BT-MITSU r?ng B88,,45
1931,RECMF-8890,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8890,CR.BR.089.BT-MITSU,226.1,401034,BT-MITSU r?ng B89,,0
1932,RECMF-8900,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8900,CR.BR.090.BT-MITSU,228.6,401034,BT-MITSU r?ng B90,,0
1933,RECMF-8940,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8940,CR.BR.094.BT-MITSU,238.8,401034,BT-MITSU r?ng B94,,0
1934,RECMF-8950,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8950,CR.BR.095.BT-MITSU,241.3,401039,BT-MITSU r?ng B95,,0
1935,RECMF-8970,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8970,CR.BR.097.BT-MITSU,246.4,401039,BT-MITSU r?ng B97,,0
1936,RECMF-8980,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8980,CR.BR.098.BT-MITSU,248.9,401039,BT-MITSU r?ng B98,,0
1937,RECMF-8990,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-8990,CR.BR.099.BT-MITSU,251.5,401039,BT-MITSU r?ng B99,,0
1938,RECMF-81000,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-81000,CR.BR.100.BT-MITSU,254,401039,BT-MITSU r?ng B100,,0
1939,RECMF-81080,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-81080,CR.BR.108.BT-MITSU,274.3,401039,BT-MITSU r?ng B108,,0
1940,RECMF-9390,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-9390,CR.CR.039.BT-MITSU,99.1,401032,BT-MITSU r?ng C39,,0
1941,RECMF-9460,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-9460,CR.CR.046.BT-MITSU,116.8,401032,BT-MITSU r?ng C46,,0
1942,RECMF-9510,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-9510,CR.CR.051.BT-MITSU,129.5,401032,BT-MITSU r?ng C51,,0
1943,RECMF-9520,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-9520,CR.CR.052.BT-MITSU,132.1,401032,BT-MITSU r?ng C52,,0
1944,RECMF-9540,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-9540,CR.CR.054.BT-MITSU,137.2,401032,BT-MITSU r?ng C54,,0
1945,RECMF-9590,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-9590,CR.CR.059.BT-MITSU,149.9,401032,BT-MITSU r?ng C59,,0
1946,RECMF-9600,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-9600,CR.CR.060.BT-MITSU,152.4,401032,BT-MITSU r?ng C60,,0
1947,RECMF-9610,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-9610,CR.CR.061.BT-MITSU,154.9,401032,BT-MITSU r?ng C61,,0
1948,RECMF-9640,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-9640,CR.CR.064.BT-MITSU,162.6,401032,BT-MITSU r?ng C64,,0
1949,RECMF-9650,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-9650,CR.CR.065.BT-MITSU,165.1,401032,BT-MITSU r?ng C65,,0
1950,RECMF-9720,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-9720,CR.CR.072.BT-MITSU,182.9,401034,BT-MITSU r?ng C72,,0
1951,RECMF-9730,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-9730,CR.CR.073.BT-MITSU,185.4,401034,BT-MITSU r?ng C73,,0
1952,RECMF-9750,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-9750,CR.CR.075.BT-MITSU,190.5,401034,BT-MITSU r?ng C75,,0
1953,RECMF-9760,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-9760,CR.CR.076.BT-MITSU,193,401034,BT-MITSU r?ng C76,,0
1954,RECMF-9780,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-9780,CR.CR.078.BT-MITSU,198.1,401034,BT-MITSU r?ng C78,,0
1955,RECMF-9790,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-9790,CR.CR.079.BT-MITSU,200.7,401034,BT-MITSU r?ng C79,,0
1956,RECMF-9810,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-9810,CR.CR.081.BT-MITSU,205.7,401034,BT-MITSU r?ng C81,,0
1957,RECMF-9820,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-9820,CR.CR.082.BT-MITSU,208.3,401034,BT-MITSU r?ng C82,,0
1958,RECMF-9830,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-9830,CR.CR.083.BT-MITSU,210.8,401034,BT-MITSU r?ng C83,,0
1959,RECMF-9840,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-9840,CR.CR.084.BT-MITSU,213.4,401034,BT-MITSU r?ng C84,,0
1960,RECMF-9850,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-9850,CR.CR.085.BT-MITSU,215.9,401034,BT-MITSU r?ng C85,,30
1961,RECMF-9860,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-9860,CR.CR.086.BT-MITSU,218.4,401034,BT-MITSU r?ng C86,,0
1962,RECMF-9880,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-9880,CR.CR.088.BT-MITSU,223.5,401034,BT-MITSU r?ng C88,,0
1963,RECMF-9900,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-9900,CR.CR.090.BT-MITSU,228.6,401034,BT-MITSU r?ng C90,,0
1964,RECMF-9920,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-9920,CR.CR.092.BT-MITSU,233.7,401034,BT-MITSU r?ng C92,,0
1965,RECMF-9950,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-9950,CR.CR.095.BT-MITSU,241.3,401039,BT-MITSU r?ng C95,,0
1966,RECMF-1200,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-1200,CR.FMR.020.BT-MITSU,50.8,401039,BT-MITSU r?ng FM20,,0
1967,RECMF-1210,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-1210,CR.FMR.021.BT-MITSU,53.3,401039,BT-MITSU r?ng FM21,,0
1968,RECMF-1220,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-1220,CR.FMR.022.BT-MITSU,55.9,401039,BT-MITSU r?ng FM22,,0
1969,RECMF-1240,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-1240,CR.FMR.024.BT-MITSU,61,401032,BT-MITSU r?ng FM24,,0
1970,RECMF-1250,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-1250,CR.FMR.025.BT-MITSU,63.5,401032,BT-MITSU r?ng FM25,,0
1971,RECMF-1260,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-1260,CR.FMR.026.BT-MITSU,66,401032,BT-MITSU r?ng FM26,,0
1972,RECMF-1270,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-1270,CR.FMR.027.BT-MITSU,68.6,401032,BT-MITSU r?ng FM27,,0
1973,RECMF-1280,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-1280,CR.FMR.028.BT-MITSU,71.1,401032,BT-MITSU r?ng FM28,,0
1974,RECMF-1290,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-1290,CR.FMR.029.BT-MITSU,73.7,401032,BT-MITSU r?ng FM29,,0
1975,RECMF-1300,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-1300,CR.FMR.030.BT-MITSU,76.2,401032,BT-MITSU r?ng FM30,,0
1976,RECMF-1310,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-1310,CR.FMR.031.BT-MITSU,78.7,401032,BT-MITSU r?ng FM31,,0
1977,RECMF-1320,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-1320,CR.FMR.032.BT-MITSU,81.3,401032,BT-MITSU r?ng FM32,,0
1978,RECMF-1330,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-1330,CR.FMR.033.BT-MITSU,83.8,401032,BT-MITSU r?ng FM33,,0
1979,RECMF-1340,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-1340,CR.FMR.034.BT-MITSU,86.4,401032,BT-MITSU r?ng FM34,,0
1980,RECMF-1350,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-1350,CR.FMR.035.BT-MITSU,88.9,401032,BT-MITSU r?ng FM35,,0
1981,RECMF-1370,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-1370,CR.FMR.037.BT-MITSU,94,401032,BT-MITSU r?ng FM37,,0
1982,RECMF-1380,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-1380,CR.FMR.038.BT-MITSU,96.5,401032,BT-MITSU r?ng FM38,,0
1983,RECMF-1390,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-1390,CR.FMR.039.BT-MITSU,99.1,401032,BT-MITSU r?ng FM39,,0
1984,RECMF-1410,BT-MITSU PREMIUM,Rubber Belt (V-Ribbed) BT-MITSU PREMIUM RECMF-1410,CR.FMR.041.BT-MITSU,104.1,401032,BT-MITSU r?ng FM41,,0
